numero;nome
412;Senhor, recordamos aqui...
415;Na cruz morreu o Cordeiro
417;Recordemo-nos sempre do Mestre
425;Cristo Supremo
419;"""Fazei isto em memória de Mim"""
408;Jesus Cristo é o Pão celeste
410;O sangue precioso
411;O vitupério de Jesus
413;Foi por mim que morreste
414;Teu sangue imaculado
416;No calvário...
418;Só Jesus Cristo, santo Cordeiro
420;Foi no Calvário...
421;Recorda, por fé, minha alma
422;Jesus Cristo, fiel Cordeiro
423;Só o sangue precioso e expiador
424;Ó Jesus, por nós morreste
